Date,Open(Q.FTAS),High(Q.FTAS),Low(Q.FTAS),Last(Q.FTAS)
24/03/2005,2462.86,2474.61,2461.42,2470.58
23/03/2005,2480.02,2480.02,2453.97,2462.79
22/03/2005,2480.54,2485.90,2467.81,2480.12
21/03/2005,2476.23,2488.69,2476.23,2480.52
18/03/2005,2474.37,2486.22,2474.37,2476.21
17/03/2005,2481.37,2488.43,2473.67,2474.37
16/03/2005,2510.11,2510.11,2477.80,2481.40
15/03/2005,2499.40,2512.33,2499.40,2510.10
14/03/2005,2502.83,2508.34,2487.66,2499.36
11/03/2005,2492.85,2506.42,2492.85,2502.83
10/03/2005,2508.10,2508.10,2490.83,2492.84
09/03/2005,2514.80,2528.05,2507.89,2508.12
08/03/2005,2522.98,2523.09,2511.87,2514.73
07/03/2005,2527.33,2529.16,2517.91,2522.94
04/03/2005,2515.98,2528.53,2515.19,2527.25
03/03/2005,2506.15,2519.60,2506.15,2515.98
02/03/2005,2510.04,2510.04,2494.95,2506.14
01/03/2005,2495.46,2511.19,2494.80,2510.04
28/02/2005,2510.70,2521.15,2495.43,2495.46
25/02/2005,2493.23,2510.72,2493.23,2510.72
24/02/2005,2499.36,2506.07,2493.19,2493.19
23/02/2005,2519.08,2519.08,2490.81,2499.30
22/02/2005,2533.24,2534.14,2511.86,2519.38
21/02/2005,2534.75,2543.48,2529.39,2533.23
18/02/2005,2535.10,2538.70,2530.11,2534.73
17/02/2005,2533.28,2543.44,2532.65,2535.06
16/02/2005,2539.07,2539.07,2526.02,2533.30
15/02/2005,2532.39,2541.68,2529.77,2539.06
14/02/2005,2533.36,2536.08,2527.75,2532.41
11/02/2005,2513.61,2533.60,2513.61,2533.32
10/02/2005,2509.70,2519.50,2504.47,2513.62
09/02/2005,2512.08,2514.61,2502.95,2509.71
08/02/2005,2503.41,2512.05,2499.08,2512.05
07/02/2005,2485.98,2504.67,2485.98,2503.39
04/02/2005,2470.47,2488.29,2470.47,2485.91
03/02/2005,2473.09,2476.73,2466.22,2470.44
