Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
25/10/2004,9757.22,9777.87,9708.4,9749.99
22/10/2004,9863.85,9883.25,9753.02,9757.81
21/10/2004,9884.65,9903.15,9800.87,9865.76
20/10/2004,9895.19,9895.7,9804.19,9886.93
19/10/2004,9958.38,10020.55,9894.89,9897.62
18/10/2004,9932.98,9960.15,9861.63,9956.32
15/10/2004,9895.63,9982.71,9895.55,9933.38
14/10/2004,10002.54,10003.36,9875.13,9894.45
13/10/2004,10085.21,10127.17,9957.79,10002.33
12/10/2004,10080.42,10102.33,10017.15,10077.18
11/10/2004,10056.09,10098.78,10056.09,10081.97
08/10/2004,10124.11,10148.04,10036.32,10055.20
07/10/2004,10239.84,10240.95,10124.52,10125.40
06/10/2004,10170.7,10240.14,10157.99,10239.92
05/10/2004,10216.76,10221.11,10158.07,10177.68
04/10/2004,10191.4,10270.37,10191.4,10216.54
01/10/2004,10082.04,10198.62,10082.04,10192.65
30/09/2004,10136.38,10142.94,10038.9,10080.27
29/09/2004,10078.06,10136.24,10050.56,10136.24
28/09/2004,9989.73,10099.52,9977.92,10077.40
27/09/2004,10046.65,10046.65,9985.37,9988.54
24/09/2004,10039.42,10081.3,10034.85,10047.24
23/09/2004,10108.29,10108.74,10031.16,10038.90
22/09/2004,10244.05,10244.05,10097.37,10109.18
21/09/2004,10204.52,10270.52,10200.25,10244.93
20/09/2004,10283.87,10283.87,10187.19,10204.89
17/09/2004,10245.82,10314.76,10245.74,10284.46
16/09/2004,10231.59,10281.88,10228.64,10244.49
15/09/2004,10316.9,10317.05,10228.78,10231.36
14/09/2004,10315.13,10340.13,10303.41,10318.16
13/09/2004,10306.65,10348.39,10292.57,10314.76
10/09/2004,10289.47,10321.92,10237.78,10313.07
09/09/2004,10314.69,10337.33,10269.49,10289.10
08/09/2004,10342.42,10361.22,10305.18,10313.36
07/09/2004,10261.52,10363.36,10261.45,10342.79
03/09/2004,10277.82,10321.77,10260.2,10260.20
02/09/2004,10168.39,10301.49,10162.05,10290.28
01/09/2004,10170.12,10208.27,10110.65,10168.46
31/08/2004,10121.97,10173.92,10074.22,10173.92
30/08/2004,10193.83,10196.78,10122.52,10122.52
27/08/2004,10174.07,10211.25,10166.69,10195.01
26/08/2004,10181.07,10193.54,10155.86,10173.41
25/08/2004,10098.49,10199.21,10068.11,10181.74
24/08/2004,10074.89,10146.79,10062.13,10098.63
23/08/2004,10111.1,10131.08,10067.97,10073.05
20/08/2004,10040.81,10126.88,10012.51,10110.14
19/08/2004,10082.78,10082.78,9989.87,10040.82
18/08/2004,9964.22,10083.15,9934.05,10083.15
17/08/2004,9955.5,10023.94,9952.11,9972.83
16/08/2004,9825.35,9967.08,9825.35,9954.55
13/08/2004,9814.11,9854.92,9783.91,9825.35
12/08/2004,9936.48,9936.48,9808.54,9814.59
11/08/2004,9931.24,9954.18,9841.36,9938.32
10/08/2004,9815.55,9944.67,9815.47,9944.67
09/08/2004,9816.14,9858.68,9811.12,9814.66
06/08/2004,9960.67,9960.74,9793.05,9815.33
05/08/2004,10127.1,10129.09,9955.73,9963.03
04/08/2004,10117.96,10162.42,10068.11,10126.51
03/08/2004,10178.27,10178.28,10102.84,10120.24
02/08/2004,10138.45,10203.56,10101.36,10179.16
30/07/2004,10129.12,10149.65,10086.32,10139.71
29/07/2004,10115.52,10163.01,10084.84,10129.24
28/07/2004,10084.03,10146.86,9994.22,10117.07
27/07/2004,9963.54,10103.13,9963.54,10085.14
26/07/2004,9964.71,10003.8,9913.92,9961.92
23/07/2004,10045.46,10045.47,9931.77,9962.22
22/07/2004,10047.6,10073.49,9946.88,10050.33
21/07/2004,10156.3,10237.12,10045.61,10046.13
20/07/2004,10094.43,10155.63,10072.68,10149.07
19/07/2004,10140.95,10148.63,10063.31,10094.06
16/07/2004,10162.34,10238.37,10135.13,10139.78
15/07/2004,10208.2,10235.65,10162.94,10163.16
14/07/2004,10232.84,10286.89,10172.39,10208.80
13/07/2004,10238.37,10257.1,10230.63,10247.59
12/07/2004,10211.75,10257.1,10162.18,10238.22
09/07/2004,10173.12,10239.25,10173.12,10213.22
08/07/2004,10238.52,10263.73,10166.25,10171.56
07/07/2004,10211.92,10266.61,10199.29,10240.29
06/07/2004,10280.26,10280.26,10191.4,10219.34
02/07/2004,10334,10334.08,10264.92,10282.83
01/07/2004,10434,10448.09,10274.51,10334.16
30/06/2004,10413.43,10471.24,10375.67,10435.48
29/06/2004,10356.35,10429.13,10341.68,10413.43
28/06/2004,10377.52,10464.38,10337.7,10357.09
25/06/2004,10444.24,10487.54,10369.92,10371.84
24/06/2004,10477.43,10487.46,10433.56,10443.81
23/06/2004,10395.14,10486.87,10359.46,10479.57
22/06/2004,10370.21,10401.18,10307.25,10395.07
21/06/2004,10417.82,10440.05,10363.36,10371.47
18/06/2004,10375.82,10437.9,10358,10416.41
17/06/2004,10378.59,10390.01,10338.13,10377.52
16/06/2004,10380.23,10393.42,10355.51,10379.58
15/06/2004,10336.51,10428.05,10336.51,10380.43
14/06/2004,10401.23,10401.3,10307.05,10334.73
10/06/2004,10367.8,10410.95,10367.8,10410.10
09/06/2004,10431.1,10431.32,10364.96,10368.44
08/06/2004,10389.41,10432.81,10353.05,10432.52
07/06/2004,10243.31,10391.15,10243.31,10391.08
04/06/2004,10196.83,10302.08,10196.69,10242.82
03/06/2004,10261.85,10281.92,10193.78,10195.91
02/06/2004,10199.78,10288.81,10197.06,10262.97
01/06/2004,10187.18,10214.57,10134.86,10202.65
28/05/2004,10205.83,10216.63,10172.77,10188.45
27/05/2004,10109.89,10222.24,10109.89,10205.20
26/05/2004,10116.84,10128.84,10077.81,10109.89
25/05/2004,9958.08,10121.67,9915.86,10117.62
24/05/2004,9968.02,10045.45,9927.14,9958.43
21/05/2004,9939.34,10036.78,9939.27,9966.74
20/05/2004,9939.12,9970.64,9900.59,9937.64
19/05/2004,9962.55,10093.21,9933.11,9937.71
18/05/2004,9906.71,9987.04,9906.64,9968.51
17/05/2004,10009.92,10009.92,9862.77,9906.91
14/05/2004,10008.43,10065.68,9938.42,10012.87
13/05/2004,10044.31,10074.11,9970.93,10010.74
12/05/2004,10011.52,10048.21,9852.19,10045.16
11/05/2004,9989.24,10038.35,9974.05,10019.47
10/05/2004,10116.28,10116.28,9932.74,9990.02
07/05/2004,10240.62,10271.99,10114.86,10117.34
06/05/2004,10308.2,10308.2,10170.51,10241.26
05/05/2004,10316.98,10348.35,10291.08,10310.95
04/05/2004,10314.32,10386.32,10266.17,10317.20
03/05/2004,10227.27,10329.05,10227.13,10314.00
30/04/2004,10273.06,10333.87,10225.57,10225.57
