Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
10/06/1923,96.14,97.24,96.14,97.10
03/06/1923,97.25,97.66,95.36,95.75
27/05/1923,92.77,97.48,92.77,97.48
20/05/1923,96.91,96.91,94.70,94.70
13/05/1923,95.41,98.19,95.40,95.40
06/05/1923,98.38,98.38,96.30,96.73
29/04/1923,100.73,101.37,100.63,100.63
22/04/1923,101.76,102.58,101.10,101.10
15/04/1923,102.11,102.11,101.08,102.09
08/04/1923,101.51,102.70,101.40,102.56
01/04/1923,102.36,103.45,102.36,102.75
25/03/1923,105.36,105.38,103.28,103.28
18/03/1923,104.22,105.28,103.93,104.89
11/03/1923,104.77,105.23,103.82,103.82
04/03/1923,102.40,104.65,102.40,104.51
25/02/1923,102.96,103.59,102.85,102.85
18/02/1923,102.16,103.23,101.85,103.21
11/02/1923,100.03,101.70,100.03,101.70
04/02/1923,98.26,99.33,97.43,99.33
28/01/1923,97.25,98.15,97.16,98.00
21/01/1923,98.04,98.09,96.96,97.61
14/01/1923,98.06,99.09,97.23,99.09
07/01/1923,98.77,99.42,97.77,97.77
31/12/1922,99.04,99.22,98.14,98.73
24/12/1922,97.64,98.62,97.52,98.62
17/12/1922,97.85,98.28,97.75,98.13
10/12/1922,95.10,97.88,95.03,97.72
03/12/1922,92.03,95.91,92.03,95.91
26/11/1922,95.82,95.82,92.78,92.78
19/11/1922,95.37,95.37,93.61,95.36
12/11/1922,98.45,99.53,95.88,95.88
05/11/1922,96.90,99.29,96.11,99.06
29/10/1922,100.11,100.11,98.00,98.68
22/10/1922,102.76,102.76,101.21,101.95
15/10/1922,102.26,103.43,101.55,103.43
08/10/1922,97.67,100.81,97.67,100.50
01/10/1922,98.90,98.90,96.30,96.30
24/09/1922,98.88,100.14,98.37,99.10
17/09/1922,102.05,102.05,100.43,100.43
10/09/1922,101.67,101.68,100.60,101.68
03/09/1922,99.21,101.29,99.21,101.29
27/08/1922,99.71,100.75,99.71,100.05
20/08/1922,96.21,99.01,96.21,99.01
13/08/1922,97.37,97.37,96.51,97.04
06/08/1922,97.05,97.11,96.25,97.03
30/07/1922,94.64,96.83,94.64,96.83
23/07/1922,95.26,96.76,95.26,95.78
16/07/1922,93.90,95.35,93.90,95.35
09/07/1922,92.92,94.63,92.92,93.53
02/07/1922,93.48,93.48,92.06,92.90
25/06/1922,91.95,93.51,91.95,93.16
18/06/1922,90.73,93.08,90.73,91.45
11/06/1922,95.98,95.98,93.20,93.20
04/06/1922,96.41,96.41,95.63,96.31
28/05/1922,94.86,95.47,94.36,95.47
